Year,Agency ID,County,Total Children Served, Expenditure ,
2019,DOE,Giles,224,21487.00,
2019,DOE,Giles,4564,963705.00,
2019,DOE,Giles,387,156167.00,
2019,DOE,Giles,4564,145595.00,
2019,DOE,Giles,35,4478.00,
2019,DOE,Giles,4564,67238.00,
2019,DOE,Giles,3659,73268.00,
2019,DOE,Giles,521,90093.00,
2019,DOE,Giles,395,1162326.00,
2019,DOE,Giles,41,26975.00,
2019,DOE,Giles,433,21909.00,
2019,DOE,Giles,2816,1186543.00,
2019,DOE,Giles,2081,567918.00,
2019,DOE,Giles,3613,5600.00,
2019,DOE,Giles,3659,134710.00,
2019,DOE,Giles,28,158540.00,
2019,DOE,Giles,22,28435.00,
2019,DOE,Giles,99,469093.00,
2019,DOE,Grainger,61,91431.00,
2019,DOE,Grainger,1093,67915.00,
2019,DOE,Grainger,3292,100000.00,
2019,DOE,Grainger,127,12182.00,
2019,DOE,Grainger,3631,972683.00,
2019,DOE,Grainger,3631,144210.00,
2019,DOE,Grainger,45,5758.00,
2019,DOE,Grainger,3631,69793.00,
2019,DOE,Grainger,3112,62298.00,
2019,DOE,Grainger,1598,21666.00,
2019,DOE,Grainger,722,10000.00,
2019,DOE,Grainger,617,953504.00,
2019,DOE,Grainger,186,59719.00,
2019,DOE,Grainger,2363,965783.00,
2019,DOE,Grainger,1456,399867.00,
2019,DOE,Grainger,3300,5115.00,
2019,DOE,Grainger,3309,155030.00,
2019,DOE,Grainger,21,118905.00,
2019,DOE,Grainger,32,38440.00,
2019,DOE,Grainger,77,426217.00,
2019,DOE,Greene,104,109946.00,
2019,DOE,Greene,3024,153423.00,
2019,DOE,Greene,3024,49351.00,
2019,DOE,Greene,114,3420.00,
2019,DOE,Greene,9090,195000.00,
2019,DOE,Greene,367,35204.00,
2019,DOE,Greene,10222,2472134.00,
2019,DOE,Greene,174,125000.00,
2019,DOE,Greene,10222,323239.00,
2019,DOE,Greene,136,17401.00,
2019,DOE,Greene,10222,177478.00,
2019,DOE,Greene,8913,178444.00,
2019,DOE,Greene,500,28847.00,
2019,DOE,Greene,862,33261.00,
2019,DOE,Greene,1561,2499794.00,
2019,DOE,Greene,292,129813.00,
2019,DOE,Greene,6323,2559727.00,
2019,DOE,Greene,2805,853021.00,
2019,DOE,Greene,6273,9723.00,
2019,DOE,Greene,9121,343610.00,
2019,DOE,Greene,82,464296.00,
2019,DOE,Greene,192,92500.00,
2019,DOE,Greene,382,1870527.00,
2019,DOE,Grundy,333,291580.00,
2019,DOE,Grundy,679,40835.00,
2019,DOE,Grundy,2014,100000.00,
2019,DOE,Grundy,2156,798885.00,
2019,DOE,Grundy,2156,90039.00,
2019,DOE,Grundy,2156,55740.00,
2019,DOE,Grundy,1988,39813.00,
2019,DOE,Grundy,600,30605.00,
2019,DOE,Grundy,572,66522.00,
2019,DOE,Grundy,338,733559.00,
2019,DOE,Grundy,43,31491.00,
2019,DOE,Grundy,1685,838138.00,
2019,DOE,Grundy,1443,454847.00,
2019,DOE,Grundy,1945,92990.00,
2019,DOE,Grundy,8,45297.00,
2019,DOE,Grundy,138,178825.00,
2019,DOE,Grundy,41,203515.00,
2019,DOE,Hamblen,49,115420.00,
2019,DOE,Hamblen,3092,181241.00,
2019,DOE,Hamblen,3092,12000.00,
2019,DOE,Hamblen,242,7260.00,
2019,DOE,Hamblen,10170,100000.00,
2019,DOE,Hamblen,10962,2765143.00,
2019,DOE,Hamblen,10962,380173.00,
2019,DOE,Hamblen,1076,137669.00,
2019,DOE,Hamblen,10962,192900.00,
2019,DOE,Hamblen,550,60000.00,
2019,DOE,Hamblen,931,59233.00,
2019,DOE,Hamblen,539,69273.00,
2019,DOE,Hamblen,1394,2404663.00,
2019,DOE,Hamblen,164,66425.00,
2019,DOE,Hamblen,7664,3449803.00,
2019,DOE,Hamblen,4812,1412190.00,
2019,DOE,Hamblen,10211,387240.00,
2019,DOE,Hamblen,86,486945.00,
2019,DOE,Hamblen,273,334020.00,
2019,DOE,Hamblen,142,651747.00,
2019,DOE,Hamilton,5460,4465932.00,
2019,DOE,Hamilton,12457,746274.00,
2019,DOE,Hamilton,782,23460.00,
2019,DOE,Hamilton,12457,2500.00,
2019,DOE,Hamilton,1452,730428.00,
2019,DOE,Hamilton,44789,180000.00,
2019,DOE,Hamilton,54323,12857679.00,
2019,DOE,Hamilton,9315,3863067.00,
2019,DOE,Hamilton,34,31481.00,
2019,DOE,Hamilton,54323,1533755.00,
2019,DOE,Hamilton,2652,339312.00,
2019,DOE,Hamilton,636,17691.00,
2019,DOE,Hamilton,54323,904157.00,
